Day,sustainability
2016-04-21,93
2016-04-22,77
2016-04-23,53
2016-04-24,57
2016-04-25,98
2016-04-26,94
2016-04-27,93
2016-04-28,91
2016-04-29,70
2016-04-30,48
2016-05-01,60
2016-05-02,89
2016-05-03,91
2016-05-04,89
2016-05-05,90
2016-05-06,68
2016-05-07,48
2016-05-08,56
2016-05-09,96
2016-05-10,91
2016-05-11,87
2016-05-12,83
2016-05-13,73
2016-05-14,40
2016-05-15,57
2016-05-16,81
2016-05-17,89
2016-05-18,85
2016-05-19,82
2016-05-20,71
2016-05-21,42
2016-05-22,53
2016-05-23,76
2016-05-24,84
2016-05-25,78
2016-05-26,73
2016-05-27,60
2016-05-28,37
2016-05-29,49
2016-05-30,63
2016-05-31,74
2016-06-01,73
2016-06-02,73
2016-06-03,60
2016-06-04,36
2016-06-05,47
2016-06-06,74
2016-06-07,74
2016-06-08,76
2016-06-09,79
2016-06-10,54
2016-06-11,34
2016-06-12,41
2016-06-13,68
2016-06-14,70
2016-06-15,67
2016-06-16,64
2016-06-17,55
2016-06-18,36
2016-06-19,42
2016-06-20,61
2016-06-21,66
2016-06-22,65
2016-06-23,66
2016-06-24,48
2016-06-25,29
2016-06-26,38
2016-06-27,57
2016-06-28,64
2016-06-29,59
2016-06-30,55
2016-07-01,53
2016-07-02,30
2016-07-03,31
2016-07-04,54
2016-07-05,57
2016-07-06,59
2016-07-07,59
2016-07-08,47
2016-07-09,25
2016-07-10,37
2016-07-11,54
2016-07-12,59
2016-07-13,59
2016-07-14,57
2016-07-15,45
2016-07-16,28
2016-07-17,32
2016-07-18,64
2016-07-19,60
2016-07-20,65
2016-07-21,59
2016-07-22,51
2016-07-23,29
2016-07-24,36
2016-07-25,59
2016-07-26,62
2016-07-27,60
2016-07-28,62
2016-07-29,50
2016-07-30,28
2016-07-31,39
2016-08-01,63
2016-08-02,65
2016-08-03,68
2016-08-04,62
2016-08-05,49
2016-08-06,28
2016-08-07,37
2016-08-08,61
2016-08-09,64
2016-08-10,64
2016-08-11,63
2016-08-12,50
2016-08-13,28
2016-08-14,36
2016-08-15,58
2016-08-16,65
2016-08-17,66
2016-08-18,64
2016-08-19,50
2016-08-20,31
2016-08-21,41
2016-08-22,67
2016-08-23,77
2016-08-24,81
2016-08-25,75
2016-08-26,60
2016-08-27,35
2016-08-28,51
2016-08-29,76
2016-08-30,80
2016-08-31,76
2016-09-01,73
2016-09-02,60
2016-09-03,37
2016-09-04,45
2016-09-05,64
2016-09-06,88
2016-09-07,88
2016-09-08,90
2016-09-09,75
2016-09-10,42
2016-09-11,52
2016-09-12,96
2016-09-13,92
2016-09-14,88
2016-09-15,85
2016-09-16,71
2016-09-17,40
2016-09-18,58
2016-09-19,89
2016-09-20,87
2016-09-21,92
2016-09-22,86
2016-09-23,74
2016-09-24,40
2016-09-25,56
2016-09-26,87
2016-09-27,90
2016-09-28,85
2016-09-29,89
2016-09-30,63
2016-10-01,38
2016-10-02,51
2016-10-03,81
2016-10-04,94
2016-10-05,86
2016-10-06,85
2016-10-07,67
2016-10-08,41
2016-10-09,55
2016-10-10,92
2016-10-11,89
2016-10-12,95
2016-10-13,93
2016-10-14,75
2016-10-15,41
2016-10-16,59
2016-10-17,92
2016-10-18,97
2016-10-19,93
2016-10-20,94
2016-10-21,69
2016-10-22,41
2016-10-23,57
2016-10-24,91
2016-10-25,99
2016-10-26,92
2016-10-27,95
2016-10-28,68
2016-10-29,42
2016-10-30,55
2016-10-31,86
2016-11-01,87
2016-11-02,95
2016-11-03,91
2016-11-04,71
2016-11-05,48
2016-11-06,59
2016-11-07,96
2016-11-08,96
2016-11-09,78
2016-11-10,86
2016-11-11,72
2016-11-12,46
2016-11-13,57
2016-11-14,99
2016-11-15,97
2016-11-16,100
2016-11-17,96
2016-11-18,75
2016-11-19,45
2016-11-20,57
2016-11-21,87
2016-11-22,91
2016-11-23,76
2016-11-24,66
2016-11-25,54
2016-11-26,43
2016-11-27,57
2016-11-28,97
2016-11-29,97
2016-11-30,98
2016-12-01,97
2016-12-02,72
2016-12-03,45
2016-12-04,56
2016-12-05,94
2016-12-06,93
2016-12-07,91
2016-12-08,85
2016-12-09,68
2016-12-10,40
2016-12-11,50
2016-12-12,84
2016-12-13,82
2016-12-14,76
2016-12-15,73
2016-12-16,59
2016-12-17,33
2016-12-18,36
2016-12-19,61
2016-12-20,60
2016-12-21,50
2016-12-22,40
2016-12-23,32
2016-12-24,18
2016-12-25,18
2016-12-26,26
2016-12-27,30
2016-12-28,39
2016-12-29,36
2016-12-30,29
2016-12-31,19
2017-01-01,22
2017-01-02,36
2017-01-03,51
2017-01-04,60
2017-01-05,55
2017-01-06,53
2017-01-07,30
2017-01-08,42
2017-01-09,63
2017-01-10,71
2017-01-11,70
2017-01-12,73
2017-01-13,63
2017-01-14,38
2017-01-15,41
2017-01-16,69
2017-01-17,84
2017-01-18,79
2017-01-19,78
2017-01-20,63
2017-01-21,36
2017-01-22,49
2017-01-23,85
2017-01-24,81
2017-01-25,78
2017-01-26,74
2017-01-27,62
2017-01-28,38
2017-01-29,48
2017-01-30,77
2017-01-31,84
2017-02-01,86
2017-02-02,78
2017-02-03,67
2017-02-04,39
2017-02-05,46
2017-02-06,77
2017-02-07,79
2017-02-08,81
2017-02-09,80
2017-02-10,65
2017-02-11,38
2017-02-12,48
2017-02-13,74
2017-02-14,79
2017-02-15,83
2017-02-16,85
2017-02-17,65
2017-02-18,38
2017-02-19,50
2017-02-20,75
2017-02-21,88
2017-02-22,84
2017-02-23,78
2017-02-24,66
2017-02-25,45
2017-02-26,52
2017-02-27,88
2017-02-28,96
2017-03-01,88
2017-03-02,87
2017-03-03,72
2017-03-04,45
2017-03-05,56
2017-03-06,86
2017-03-07,89
2017-03-08,91
2017-03-09,89
2017-03-10,74
2017-03-11,45
2017-03-12,52
2017-03-13,90
2017-03-14,90
2017-03-15,87
2017-03-16,83
2017-03-17,70
2017-03-18,41
2017-03-19,58
2017-03-20,89
2017-03-21,99
2017-03-22,96
2017-03-23,90
2017-03-24,69
2017-03-25,45
2017-03-26,58
2017-03-27,91
2017-03-28,92
2017-03-29,87
2017-03-30,86
2017-03-31,68
2017-04-01,42
2017-04-02,56
2017-04-03,87
2017-04-04,90
2017-04-05,91
2017-04-06,83
2017-04-07,67
2017-04-08,47
2017-04-09,52
2017-04-10,89
2017-04-11,83
2017-04-12,86
2017-04-13,71
2017-04-14,49
2017-04-15,41
2017-04-16,44
2017-04-17,73
2017-04-18,89
2017-04-19,90
2017-04-20,88
2017-04-21,75
2017-04-22,47
2017-04-23,53
2017-04-24,91
2017-04-25,98
2017-04-26,100
2017-04-27,87
2017-04-28,69
2017-04-29,41
2017-04-30,56
2017-05-01,84
2017-05-02,94
2017-05-03,90
2017-05-04,89
2017-05-05,78
2017-05-06,48
2017-05-07,59
2017-05-08,91
2017-05-09,90
2017-05-10,89
2017-05-11,85
2017-05-12,67
2017-05-13,36
2017-05-14,50
2017-05-15,82
2017-05-16,77
2017-05-17,75
2017-05-18,76
2017-05-19,59
2017-05-20,38
2017-05-21,45
2017-05-22,76
2017-05-23,77
2017-05-24,72
2017-05-25,67
2017-05-26,57
2017-05-27,35
2017-05-28,41
2017-05-29,59
2017-05-30,72
2017-05-31,73
2017-06-01,68
2017-06-02,61
2017-06-03,36
2017-06-04,43
2017-06-05,70
2017-06-06,68
2017-06-07,68
2017-06-08,69
2017-06-09,54
2017-06-10,35
2017-06-11,41
2017-06-12,65
2017-06-13,73
2017-06-14,68
2017-06-15,67
2017-06-16,53
2017-06-17,29
2017-06-18,39
2017-06-19,63
2017-06-20,65
2017-06-21,62
2017-06-22,58
2017-06-23,47
2017-06-24,27
2017-06-25,32
2017-06-26,57
2017-06-27,62
2017-06-28,57
2017-06-29,57
2017-06-30,47
2017-07-01,30
2017-07-02,31
2017-07-03,53
2017-07-04,60
2017-07-05,68
2017-07-06,68
2017-07-07,57
2017-07-08,29
2017-07-09,40
2017-07-10,59
2017-07-11,67
2017-07-12,63
2017-07-13,61
2017-07-14,52
2017-07-15,33
2017-07-16,33
2017-07-17,62
2017-07-18,74
2017-07-19,76
2017-07-20,67
2017-07-21,54
2017-07-22,33
2017-07-23,41
2017-07-24,60
2017-07-25,67
2017-07-26,67
2017-07-27,61
2017-07-28,54
2017-07-29,29
2017-07-30,36
2017-07-31,66
2017-08-01,68
2017-08-02,69
2017-08-03,63
2017-08-04,55
2017-08-05,32
2017-08-06,43
2017-08-07,71
2017-08-08,71
2017-08-09,68
2017-08-10,74
2017-08-11,57
2017-08-12,33
2017-08-13,44
2017-08-14,67
2017-08-15,75
2017-08-16,70
2017-08-17,75
2017-08-18,57
2017-08-19,34
2017-08-20,41
2017-08-21,75
2017-08-22,77
2017-08-23,74
2017-08-24,76
2017-08-25,62
2017-08-26,36
2017-08-27,42
2017-08-28,72
2017-08-29,81
2017-08-30,80
2017-08-31,79
2017-09-01,62
2017-09-02,39
2017-09-03,48
2017-09-04,69
2017-09-05,86
2017-09-06,94
2017-09-07,94
2017-09-08,74
2017-09-09,40
2017-09-10,54
2017-09-11,99
2017-09-12,96
2017-09-13,96
2017-09-14,89
2017-09-15,79
2017-09-16,44
2017-09-17,58
2017-09-18,99
2017-09-19,100
2017-09-20,97
2017-09-21,93
2017-09-22,73
2017-09-23,42
2017-09-24,59
2017-09-25,95
2017-09-26,97
2017-09-27,91
2017-09-28,91
2017-09-29,75
2017-09-30,35
2017-10-01,54
2017-10-02,91
2017-10-03,97
2017-10-04,90
2017-10-05,92
2017-10-06,72
2017-10-07,49
2017-10-08,62
