"Country","Year","CO2_Mt"
"Luxembourg",1997,8.56109758812267
"Malta",1997,2.25526783388477
"Monaco",1997,0.116288944120852
"Netherlands",1997,171.546186104637
"New Zealand",1997,30.5223844870928
"Norway",1997,41.2119017901985
"Poland",1997,365.45953738136
"Portugal",1997,54.6885706808793
"Romania",1997,118.467615237592
"Russian Federation",1997,1466.77050948786
"Slovakia",1997,44.1902867990396
"Slovenia",1997,15.9909345606492
"Spain",1997,263.303696186758
"Sweden",1997,57.6313671394916
"Switzerland",1997,43.514015733203
"Turkey",1997,205.366374634081
"Ukraine",1997,311.49779506572
"United Kingdom",1997,550.525206333757
"United States",1997,5678.07472581194
"Australia",1998,331.123226303312
"Austria",1998,66.74398410456
"Belarus",1998,58.0648499543183
"Belgium",1998,128.96639489366
"Bulgaria",1998,52.6356938846166
"Canada",1998,530.103855473228
"Croatia",1998,19.6340320535239
"Cyprus",1998,6.51678625275829
"Czech Republic",1998,123.157113399468
"Denmark",1998,62.0704836571641
"Estonia",1998,16.6752213388796
"European Union (15)",1998,3368.51043693925
"European Union (28)",1998,4175.86474292209
"Finland",1998,59.0755368460467
"France",1998,426.564526573154
"Germany",1998,915.176529428969
"Greece",1998,98.2055103495973
"Hungary",1998,60.9753997389195
"Iceland",1998,2.50500047434596
"Ireland",1998,40.2707285267227
"Italy",1998,453.524083091103
"Japan",1998,1195.87014889583
"Latvia",1998,8.21092906031961
"Liechtenstein",1998,0.230582352939017
"Lithuania",1998,15.9285050324997
"Luxembourg",1998,7.6725691802051
"Malta",1998,2.25863032228935
"Monaco",1998,0.114077174221043
"Netherlands",1998,173.381141390814
"New Zealand",1998,29.0326199910844
"Norway",1998,41.4363808637135
"Poland",1998,338.295795167524
"Portugal",1998,59.243137692522
"Romania",1998,103.798003759056
"Russian Federation",1998,1440.97198674204
"Slovakia",1998,43.6522355458145
"Slovenia",1998,15.7307426799151
"Spain",1998,271.515038190887
"Sweden",1998,58.25181313764
"Switzerland",1998,44.8118763824871
"Turkey",1998,204.502547597763
"Ukraine",1998,310.280590133481
"United Kingdom",1998,555.499532699787
"United States",1998,5716.13998885301
"Australia",1999,340.605442481303
"Austria",1999,65.3431733476032
"Belarus",1999,55.404108045775
"Belgium",1999,123.447559434761
"Bulgaria",1999,46.1574179488004
"Canada",1999,545.793412944435
"Croatia",1999,20.5453042825423
"Cyprus",1999,6.78668097441057
"Czech Republic",1999,116.279354056721
"Denmark",1999,59.5172039288609
"Estonia",1999,15.5231591122389
"European Union (15)",1999,3344.79843650338
"European Union (28)",1999,4109.80008935463
"Finland",1999,58.6573209416949
"France",1999,418.193179052114
"Germany",1999,887.890660248581
"Greece",1999,97.494147161175
"Hungary",1999,61.2834709963426
"Iceland",1999,2.71012074274961
"Ireland",1999,41.9070293657345
"Italy",1999,458.824817013632
"Japan",1999,1230.79726544516
"Latvia",1999,7.61125287422143
"Liechtenstein",1999,0.229369031293071
"Lithuania",1999,13.4507667508967
"Luxembourg",1999,8.07707714621036
"Malta",1999,2.34808313052262
"Monaco",1999,0.114814998272877
"Netherlands",1999,167.802801388129
"New Zealand",1999,30.5451032640425
"Norway",1999,42.1813884009997
"Poland",1999,328.870879828526
"Portugal",1999,66.9844670496068
"Romania",1999,88.2688374791923
"Russian Federation",1999,1478.00241472206
"Slovakia",1999,42.882228735827
"Slovenia",1999,15.1043575178372
"Spain",1999,294.901826515372
"Sweden",1999,55.2911294457041
"Switzerland",1999,44.8937127255724
"Turkey",1999,203.847006986146
"Ukraine",1999,303.741782065654
"United Kingdom",1999,548.047972483874
"United States",1999,5789.22494240668
"Australia",2000,346.620850701133
"Austria",2000,65.9928590378552
"Belarus",2000,53.3192758336217
"Belgium",2000,125.151695830944
"Bulgaria",2000,45.5227647955321
"Canada",2000,567.738251535782
"Croatia",2000,20.0995091611086
"Cyprus",2000,7.03797246138793
"Czech Republic",2000,126.12977167497
"Denmark",2000,55.2772930881229
"Estonia",2000,15.1490868138814
"European Union (15)",2000,3375.08353091686
"European Union (28)",2000,4135.97967853668
"Finland",2000,56.8294979737245
"France",2000,415.079293154087
"Germany",2000,891.515535735075
"Greece",2000,102.571649933124
"Hungary",2000,58.0806495515284
"Iceland",2000,2.77591923911114
"Ireland",2000,44.6891820786839
"Italy",2000,462.277690863043
"Japan",2000,1251.46072001118
"Latvia",2000,6.96818843109855
"Liechtenstein",2000,0.222669250430481
"Lithuania",2000,11.8338096809657
"Luxembourg",2000,8.77982604109253
"Malta",2000,2.34518910654928
"Monaco",2000,0.112813354099481
"Netherlands",2000,169.920845092274
"New Zealand",2000,31.3109493477244
"Norway",2000,41.8647444120987
"Poland",2000,318.749132135524
"Portugal",2000,65.8661644493678
"Romania",2000,92.8569472203502
"Russian Federation",2000,1479.1932431837
"Slovakia",2000,41.0326943575698
"Slovenia",2000,15.2134943691882
"Spain",2000,308.026421393922
"Sweden",2000,54.1336120850233
"Switzerland",2000,43.952158462714
"Turkey",2000,225.608568293464
"Ukraine",2000,294.869847574209
"United Kingdom",2000,556.667160811471
"United States",2000,5963.06328793079
"Australia",2001,354.266498789713
"Austria",2001,70.0293118293794
"Belarus",2001,52.3470309245399
